Chinese,well, The adventures of Huckleberry Finn,undefined,1979,Shanghai Foreign Language Publishing House,"Shanghai, China",353
Chinese,well,哈克貝利. 費恩歷險記 (Hakebeili Fei'en li xian ji),"張友松 (Zhang Yousong), 張振先譯 (Zhang Zhenxian yi)",1956,China Youth Press,"Beijing, China",349
French,well,"Les aventures de Tom Sawyer, Les aventures de Huck Finn, Le prince et le pauvre","P. F. Caillé, Yolande et René Surleau, Jean Muray",1964,Hachette,"Paris, France",223
French,well,Les aventures de Huck Finn : l'ami de Tom Sawyer,"William L. Hughes, Illustrator: Achille Sirouy",1886,Bibliotheque nouvelle de la jeunesse,"Paris, France",276
French,well,Les aventures de Huck Finn / Mark Twain,"Yolande et René Surleau, Illustrator: Daniel Billon",1977,Hachette,"Paris, France",254
French,well,Les aventures d'Huckleberry Finn,"Suzanne Nétillard, Illustrator: Nathaële Vogel",1982,Éditions Gallimard,"Paris, France",380
German,well,Die streiche Tom Sawyers und Huckleberry Finns,Carl Hartz,(after 1880?),Gemeinschaft,"Berlin, Germany",367
German,well,Huckleberry Finns Fahrten und Abenteuer,"Julie Mathieu, Gerhard Jaeckel, Illustrator: Alex",1938,Deutschen Verlag,"Berlin, Germany",269
German,well,Huckleberry Finns Fahrten und Abenteuer,Ulrich Steindorff,1921,Ulrich Steindorff,"Berlin, Germany",473
German,well,Tom Sawyers Abenteuer ; Huckleberry Finns Abenteuer,undefined,1981,Deutscher Taschenbuch Verlag (dtv Verlagsgesellschaft),"Munich, Germany",613
German,well,Abenteuer und Fahrten des Huckleberry Finn,Henny Koch,1890,Robert Lutz,"Stuttgart, Germany",321
German,well,Huckleberry Finns abenteuer und fahrten,Henny Koch,19--?,undefined,"Leipzig, Germany",333
Italian,well,Le avventure di Huckleberry Finn,"Pietro Citati, Gabriele Musumarra",1982,Biblioteca Universale Rizzoli (BUR),"Milan, Italy",364
Japanese,well,The adventures of Huckleberry Finn,Eizō Ōhashi,1967,undefined,"Tōkyō, Japan",538
Japanese,well,トム・ソ－ヤ－ と ハックルベリ－・フィン : マ－ク・トウェイン の ミシシッピ河 (Tomu Sōyā to Hakkuruberī Fin : Māku Towein no Mishishippigawa),"今村 楯夫 (Imamura Tateo), 川村 湊 (Gotō Kazuhiko), 和田 悟 (Wada Satoru)",1996,Kyuryudo Graphics,"Tōkyō, Japan",119
Japanese,well,ハックルベリイ・フィンの冒険 (Hakkuruberii Fin no bōken),村岡花子訳 (Muraoka Hanako yaku),昭和 34 (Showa 47) / 1972,新潮社 (Shinchosha Publishing Co),"Tōkyō, Japan",415
Japanese,well,ハックルベリイ・フィンの冒険 (Hakkuruberii Fin no bōken),野崎孝訳 (Nozaki Takashi yaku),昭和 46 (Showa 46) / 1971,講談社 (Kōdansha),"Tōkyō, Japan",552
Korean,well,Hok'ulperi p'in-ui mohom,"Kwak, Kyong-su",1990,Kumsong Youth Publishing House (Kumsong ch'ulp'ansa),"Seoul, South Korea",534
Russian,well,The adventures of Tom Sawyer; The adventures of Huckleberry Finn,Mariia Nesterovna Bobrova,1960,Foreign Language Publishing House,"Moscow, Russia (USSR until 1991)",588
Russian,well,Prikli︠u︡chenii︠a︡ Toma Soĭera : povestʼ; Prikli︠u︡chenii︠a︡ Geklʼberri Finna : roman.,undefined,1985,Detskai︠a︡ literatura,"Moscow, Russia (USSR until 1991)",462
Russian,well,Prikli︠u︡chenii︠a︡ Toma Soĭera ; Prikli︠u︡chenii︠a︡ Geklʹberri Finna : povesti,N. Daruzes,1984,Zhalyn,"Almaty, Kazakhstan",381
Russian,well,Prikli︠u︡chenii︠a︡ Toma Soĭera ; Prikli︠u︡chenii︠a︡ Geklʹberri Finna,undefined,1984,Ėnergoatomizdat,"Moscow, Russia (USSR until 1991)",510
Russian,well,Prikli︠u︡chenii︠a︡ Toma Soĭera ; Prikli︠u︡chenii︠a︡ Geklʹberri Finna ; Print︠s︡ i nishchiĭ : povesti ,G. Mazurina,1981,Detskai︠a︡ literatura,"Moscow, Russia (USSR until 1991)",669
Russian,well,Prikli︠u︡chenii︠a︡ Toma Soĭera ; Prikli︠u︡chenii︠a︡ Geklʹberri Finna ; Print︠s︡ i nishchiĭ,undefined,1978,Detskai︠a︡ literatura,"Moscow, Russia (USSR until 1991)",669
Russian,well,Prikli︠u︡chenii︠a︡ Toma Soĭera ; Prikli︠u︡chenii︠a︡ Geklʹberri Finna ; Print︠s︡ i nishchiĭ : povesti ,G. Mazurina,1982,Detskai︠a︡ literatura,"Moscow, Russia (USSR until 1991)",669
Spanish,well,undefined,undefined,undefined,undefined,undefined,undefined
Swedish,well,Huckleberry Finns äventyr,"Sven Barthel, Illustrator: Bertil Bull Hedlund, Cover: Nils Stödberg",1984,Bonniers Junior Förlag,"Stockholm, Sweden",333
,well,Tom Sawyers och Huckleberry Finns äfventyr,Petrus Hedberg,1898,W. Siléns,"Stockholm, Sweden",982
Arabic,medium,Mughāmrāt Hilkbirīfīn,"Al-Siwīfī, Mukhtār",1986,Al-Hayʻah al-Miṣrīyah al-Āmmah lil-Kitāb,"Al-Qāhirah (Cairo), Egypt",363
Bulgarian,medium,undefined,undefined,undefined,undefined,undefined,undefined
Czech,medium,Dobrodružství Frantíka Finna : kamaráda Toma Sawyera / Mark Twain,Karel Kolman,1900,J. Otty,"Prague (Praze), Czech Republic",231
Croatian,medium,Doživljaji Haklberi Fina : drugara Toma Sojera : događa se u dolini Misisipe oko polovine XIX veka,Jelisaveta Marković,1952,Preduzeđe Novo Pokolenje,"Belgrade (Београд), Serbia",428
Danish,medium,Huckleberry Finn / Mark Twain,Ole Storm,1983,Gyldendal,"Copenhagen, Denmark",undefined
Dutch,medium,undefined,undefined,undefined,undefined,undefined,undefined
Estonian,medium,Huckleberry Finni seiklused,"Bergmann, A.; Sillaots, M.",1989,Eesti Raamat,"Tallinn, Estonia",512
Finnish,medium,undefined,undefined,undefined,undefined,undefined,undefined
Greek,medium,Hoi peripeteies tou Chaklbery Phin,Nikos Lampropoulos,1977,Ekdoseis Odysseas,"Athens, Greece",318
Hebrew,medium,Harpatqeotaw shel Huckleberry Finn,"Farkash, Yaniv",2005,Aryeh Nir Publishing House,"Tel Aviv, Israel",431
Hungarian,medium,undefined,undefined,undefined,undefined,undefined,undefined
Icelandic,medium,Stikilberja-Finnur,"Bjarnason, Kristmundur; Kristjánsson, Árni",1986,Reykjavík: Ab,"Reykjavík, Iceland",244
Icelandic,medium,Stikilsberja Finnur,"Jónsson, Daníel Freyr; Redondo, Francisco",1995,Reykjavík: Graena gáttin,"Reykjavík, Iceland",62
Latvian,medium,undefined,undefined,undefined,undefined,undefined,undefined
Lithuanian,medium,Heklberio Fino nuotykiai,"Churginaitė, Valentina",1984,Vaga,"Vilnius, Lithuania (USSR until 1991)",519
Norwegian,medium,Huckleberry Finn,"Hopp, Zinken",2006,Fono forl,"Oslo, Norway",undefined
Norwegian,medium,Huckleberry Finn,"Olav Angell, Illustrator: Erik Palmquist",1985,Bokklubben,"Oslo, Norway",372
Norwegian,medium,Huckleberry Finn,undefined,1982,Atlantic Vorlag,"Oslo, Norway",47
Polish,medium,Przygody Hucka,"Tarnowska, Krystyna",1988,Iskry,"Warsaw (Warszawa), Poland (USSR until 1989)",317
Portuguese,medium,As aventuras de Huckleberry Finn,Daniel Augusto Gonçalves,1980,Livraria Civilização,"Porto, Portugal",410
Portuguese,medium,As aventuras de Huckleberry Finn : (companheiro de Tom Sawyer) ,undefined,1961,Clube do Livro,"São Paulo, Brazil",undefined
Romanian,medium,undefined,undefined,undefined,undefined,undefined,undefined
Serbian,medium,Doživljaji Haklberi Fina,"Držić, Leo; Miličević, Nika",2005,Mediasat,"Madrid, Spain",505
Slovak,medium,undefined,undefined,undefined,undefined,undefined,undefined
Slovenian,medium,undefined,undefined,undefined,undefined,undefined,undefined
Turkish,medium,Huck Finn'in başından geçenler,undefined,1984,Kurtuluş Ofset Basımevi,"Ankara, Turkey",undefined
Ukrainian,medium,undefined,undefined,undefined,undefined,undefined,undefined
Afrikans,under,undefined,undefined,undefined,undefined,undefined,undefined
Albanian,under,Aventurat e Hekelber Finit,"Zheji, Gjergj",2006,Argeta LMG,"Tiranë, Albania",undefined
Albanian,under,Aventurat e Hakëlberi Finit,"Koka, Dritan",2008,Dritan,"Tiranë, Albania",243
Assamese,under,Aghari Lara,"Baruwa, Tarun Chandra",2002,Saraighat Prakashan,"Guwahati, India",158
Bengali,under,The Adventures of Huckleberry Finn,"Jamil, Rowshan",1986,Sheba Prokashoni,"Dhaka, Bangladesh",190
Bengali,under,Huckleberry finner dussahasik ovijan,"Momen, Nurul",1986,Bangla Academy,"Dhaka, Bangladesh",undefined
Bengali,under,Dya ayadbhenchars ab Hakleberi Phin,"Raha, Sudhindranath",1985,Deb Sahitya Kutir,"Calcutta, India",undefined
Burmese,under,undefined,undefined,undefined,undefined,undefined,undefined
Catalan,under,Les aventures d'en Huckleberry Finn,"Fontcuberta i Gel, Joan",1981,Edicions de la Magrana,"Barcelona, Spain",undefined
Chuvash,under,Gekl'berri Finn temtepĕr kursa şüreni,"Sokolova, Askliada",1985,Čuvašskoe knižnoe izdatel'stvo,"Čeboksary, Russia (USSR until 1991)",327
Farsi,under,Sargozasht-e Hakelberi Fin,"Daryā Bandari, Najaf",1987,Khārazmi,"Tehrān, Islamic Republic of Iran",379
Farsi,under,Hākelberry Fīn,"Alvī, Mehdī",1999,Koshsh,"Tehrān, Islamic Republic of Iran",143
Georgian,under,Priključenija Gekl'berri Finna,undefined,1983,Nakaduli,"Tbilisi, Georgia (USSR until 1991)",276
Hindi,under,undefined,undefined,undefined,undefined,undefined,undefined
Indonesian,under,undefined,undefined,undefined,undefined,undefined,undefined
Kazakh,under,undefined,undefined,undefined,undefined,undefined,undefined
Kirghiz,under,Gekl'berri Findin žoruktary,"Isaev, Kurmanbek",1987,Frunze: Mektep,"Bishkek, Kyrgyzstan (USSR until 1991)",267
Macedonian,under,Haklberi Fin,"Crvenkovski, Dušan",1979,Skopje: Kultura,"Skopje, North Macedonia (Yugoslavia until 2002)",284
Macedonian,under,Fin,"Crvenkovski, Dušan",1987,Skopje: Kultura,"Skopje, North Macedonia (Yugoslavia until 2002)",296
Macedonian,under,Haklberi Fin,"Popov, Vladimir",2004,Skopje: Feniks,"Skopje, North Macedonia",286
Malay,under,Pengembaraan Huckleberry Finn,undefined,1983,Whereever Distributors,"Kuala Lumpur, Malaysia",143
Malayalam,under,Hakklbari Phin,undefined,undefined,undefined,undefined,undefined
Marathi,under,undefined,undefined,undefined,undefined,undefined,undefined
Oriya,under,Sahari yubaka,"Acharya, Rajendraprasad",undefined,Jagannath Rath,"Cuttack, India",69
Oriya,under,Hucklberry Finnra duhsahasika Kāhāni,"Mahapatra, Chintamani",1992,Vidyapuri,"Cuttack, India",undefined
Sinhalese,under,Huckleberryge hapankam,"Anagiratne, Chandra",1998,Dayawansa Jayakody and Company,"Colombo, Sri Lanka",333
Tamil,under,undefined,undefined,undefined,undefined,undefined,undefined
Tatar,under,undefined,undefined,undefined,undefined,undefined,undefined
Telugu,under,Hakalberi phin,Nanduri Ramamohanaravu,1978,Navodaya Publishers,"Vijayavada, India",228
Thai,under,undefined,undefined,undefined,undefined,undefined,undefined
Uzbech,under,undefined,undefined,undefined,undefined,undefined,undefined
Basque,under,undefined,undefined,undefined,undefined,undefined,undefined
Vietnamese,under,undefined,undefined,undefined,undefined,undefined,undefined
Yiddish,under,undefined,undefined,undefined,undefined,undefined,undefined
Moldovan,under,Aventurile lui Huckleberry Finn,"Solomon, Petre",2008,Prut Internaţional,"Chişinău, Republic of Moldova",332
Armenian,under,Hek'lberi Finni arkaçnerë,undefined,1979,Erevan: Sovetakan groh,"Yerevan, Armenia",549
Turkmen,under,Tom Sojeriń ve Gekl'berri Finniń bašdan gečirenleri,"Berdiev, Danatar",1989,Ašhabad: Magaryf,"Ašhabad, Turkmenistan (USSR until 1991)",443
Persian,under,Hakelberifin,Ebrahim Golestan,1328 / 1949,undefined,undefined,undefined
Persian,under,Bardeh-ye Farari (Sargozasht-e Hak Fin),Javad Mohyi,1334 / 1955,Bongah-e Matbu’ati-ye Gutenberg,Tehrān,undefined
Persian,under,Majara-haye Hakelberifin,Hushang Pirnazar,1339 / 1960,Feranklin,Tehrān,
Persian,under,Sargozasht-e Hakelberifin,Najaf Daryabandari,1366 / 1987,Kharazmi,Tehrān,434
Persian,under,Hakelberifin,Ebrahim Golestan,1393 / 2014,Kalagh,Tehrān,368
Persian,under,Majarajuyi-haye Hakelberifin,Hasan Majidi,1394 / 2015,Sokhangostar,Tehrān,242
Persian,under,Majarajuyi-haye Shegeftangiz-e Tam Sayer va Hakelberifin,"Allahverdi Azari Najafabad, Illustrator: Nikpey",1382 / 2003,Aftab Mahtab,Tehrān,12
Persian,under,Majara-haye Hakelberifin,Roya Gilani,1372 / 1993,Arghavan,Tehrān,136
Persian,under,Majara-haye Hakelberifin,Akram shekarzadeh,1398 / 2019,Asmangun,Tehrān,72
Persian,under,Majara-haye Hakelberifin,Akram shekarzadeh,1395 / 2016,Negah-e Ashena,Tehrān,88
Persian,under,Majara-haye Hakelberifin,Shokufeh Akhavan,1372 / 1993,Nahal-e Navidan,Tehrān,240
Persian,under,Majara-haye Hakelberifin,Shokufeh Akhavan,1391 / 2012,Nahal-e Navidan,Tehrān,176
Persian,under,Majara-haye Hakelberifin,Elham al-Sadat Yasini,1398 / 2019,Ketabestan-e Ma‘refat,Tehrān,68
Persian,under,Majara-haye Hakelberifin,Elham Keshavarzi Khuzani,1398 / 2019,Dadju,Tehrān,96
Persian,under,Majara-haye Hakelberifin,Maryam Tayyebi,1396 / 2017,Atun-e Ketab,Tehrān,512
Persian,under,Majara-haye Hakelberifin,Sudabeh Zarkaf,1365 / 1986,Dadju,Tehrān,256
Persian,under,Hakelberifin,Parviz Najm al-dini,1369 / 1990,Tusan,Tehrān,140
Persian,under,Majara-haye Hakelberifin,Shahram Puranfar,1362 / 1983,Zarrin,Tehrān,394
Persian,under,Majara-haye Hakelberifin,Shahram Puranfar,1370 / 1991,Mahtab,Tehrān,394
Persian,under,Majara-haye Hakelberifin,Shahram Puranfar,1364 / 1985,Arastu,Tehrān,398
Persian,under,Majara-haye Hakelberifin,Mohammad Hemmatkhah,1391 / 2012,Asr-e Andisheh,Tehrān,60
Persian,under,Hakelberifin,Mohsen Soleymani,1388 / 2009,Ofoq,Tehrān,538
Persian,under,Majara-haye Hakelberifin: Matn-e Kutahshodeh,Mohsen Soleymani,1386 / 2007,Ofoq,Tehrān,288
Persian,under,Hakelberifin,Mohammad Qasa’,1397 / 2018,Shahr-e Qalam,Tehrān,116
Persian,under,Hakelberifin,Fatemeh Nazarahari,1397 / 2018,Guhar-e Andisheh,Tehrān,698
Persian,under,Hakelberifin,Mojtaba Nikseresht,1397 / 2018,Daryush,Tehrān,218
Persian,under,Hakelberifin,Mehdi Alavi,1392 / 2013,Dabir,Tehrān,128
Persian,under,Hakelberifin,"Ma’sumeh Mosavi, Illustrator: Maliheh Ahmad",1396 / 2017,Ava-ye Biseda,Tehrān,56
Persian,under,Hakelberifin,Ma’sumeh Mosavi,1397 / 2018,Yaqut,Tehrān,56
Persian,under,Hakelberifin,Shima Mohammadi,1396 / 2017,Panguan,Tehrān,184
Persian,under,Hakelberifin,Khosrow Shayesteh,1364 / 1985,Sepideh,Tehrān,176
Persian,under,Hakelberifin,"Khosrow Shayesteh, Rewriter: Majid Seyf",1382 / 2003,Sepideh,Tehrān,12
Persian,under,Hakelberifin,Ma’sumeh Mohammadi,1397 / 2018,Yushita,Tehrān,56
Persian,under,Hakelberifin,Nafiseh Darbeheshti,1376 / 1997,Nashr-e Peyman,Tehrān,160
Persian,under,Hakelberifin,"Daryush Shahin, Susan Ardakani",1396 / 2017,Nezareh,Tehrān,410
Persian,under,Hakelberifin,Ma’sumeh Mosavi,1397 / 2018,Yaqut,Tehrān,56
Persian,under,Hakelberifin,Alireza Khosravi,1398 / 2019,Fanus-e Danesh-e Tarvij-e Ketabkhani,Tehrān,288
Persian,under,Hakelberifin,Narges Bahrami,1396 / 2017,Guyesh Now,Tehrān,48